
asinh, mutant_48, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_49, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_50, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_51, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 0, 
asinh, mutant_52, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_53, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_54, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_55, np_asinh_2_2_3_1_1, 0, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_56, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 1, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 0, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
asinh, mutant_57, np_asinh_2_2_3_1_1, 1, np_asinh_3_1_1_1_2, 1, np_asinh_2_1_3_1_1, 0, np_asinh_2_2_2_1_1, 0, np_asinh_2_1_2_1_1, 0, np_asinh_2_3_1_1_1, 0, np_asinh_2_1_1_1_2, 1, np_asinh_2_2_1_1_1, 0, np_asinh_2_1_1_1_1, 1, np_asinh_2_3_2_1_1, 1, np_asinh_3_1_1_1_1, 1, np_asinh_2_3_3_1_1, 1, 
